Place of interest,Place address,Type of place,BiciMAD Station,Station Location,distance
Asamblea Cristiana Gilgal,CALLE GARGANTA DE AISA 34,Asamblea Cristiana Gilgal,225 - Doctor Lozano,Calle Sierra Toledana nº 33,297.5894720891361
Asambleas de Evangelización Mundial para Cristo (AEMC),CALLE ANTONIA RODRIGUEZ SACRISTAN 8 PLANTA BAJO IZQUIERDA,Asambleas de Evangelización Mundial para Cristo (AEMC),212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4256.791685109668
Asociación Darse - Dar Ayuda para la Reinserción Social España,CAMINO ALTO DE SAN ISIDRO 16 PLANTA 2º C C,Asociación Darse - Dar Ayuda para la Reinserción Social España,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,721.7844549052479
Asociación Evangélica Internacional,CALLE NICARAGUA 19,Asociación Evangélica Internacional,160 - Colombia,Calle Colombia nº 7,636.5229956403165
Catedral Anglicana de Madrid,CALLE BENEFICENCIA 18,Catedral Anglicana de Madrid,7 - Hortaleza,Calle Hortaleza nº 75,164.381934021707
Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio,CALLE NICARAGUA 12,Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio,160 - Colombia,Calle Colombia nº 7,385.0430594142544
Centro Apostólico Cristo Viene,CALLE ANTONIO LOPEZ 236 PLANTA 1,Centro Apostólico Cristo Viene,213 - Glorieta de Cádiz,Calle Antonio López nº 129,740.0856990388328
Centro Cristiano Amor y Fe,CALLE HAYA 1,Centro Cristiano Amor y Fe,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4733.443988282693
Centro Cristiano Ciudad de Refugio,CALLE GODELLA 103 PLANTA 1 Derecha,Centro Cristiano Ciudad de Refugio,235 - Embajadores 191,Calle Sodio nº 1B,5277.623950949843
Centro Cristiano Cuatro Caminos,CALLE SAN ENRIQUE 12,Centro Cristiano Cuatro Caminos,155 - San Germán 57,Calle San Germán nº 57,131.62675141122256
Centro Cristiano Evangélico,CALLE LUMBRERAS 8,Centro Cristiano Evangélico,221 - Pavones,Calle Hacienda de Pavones nº 342,2252.6092391607262
Centro Cristiano Evangélico Independiente,CALLE SECOYA 28 PLANTA 3,Centro Cristiano Evangélico Independiente,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4723.616797932316
Centro Cultural Islámico. Mezquita de Madrid,CALLE SALVADOR DE MADARIAGA 7,Centro Cultural Islámico. Mezquita de Madrid,231 - Derechos Humanos,Calle Derechos Humanos nº 12,218.53892495458717
Centro Evangélico de Restauración Aliento de Vida,CALLE PUERTO DE LAS PILAS 12,Centro Evangélico de Restauración Aliento de Vida,221 - Pavones,Calle Hacienda de Pavones nº 342,2545.4912909568734
Centro de Evangelización Anuncio de Paz,CALLE PUERTO DEL MONASTERIO 10 PLANTA BAJO,Centro de Evangelización Anuncio de Paz,227 - Concordia,Calle Arroyo del Olivar nº 6,131.0693151205756
Centro de Fe y Esperanza Internacional,CALLE LUIS GOMEZ 18,Centro de Fe y Esperanza Internacional,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2181.708107298929
Christ Missions Evangelical Church,CALLE TANTALO 7,Christ Missions Evangelical Church,235 - Embajadores 191,Calle Sodio nº 1B,4217.325843369087
Christ The Master Filipino Christian Fellowship,PLAZA FONSAGRADA 5,Christ The Master Filipino Christian Fellowship,207 - Remonta,Calle Azucenas nº 1,1996.487529053057
Community Church of Madrid,CALLE VIÑA 3,Community Church of Madrid,244 - Hospital Clínico,Calle Isaac Peral nº 44,458.4935000922974
Comunidad Cristiana Betania,CALLE GABRIELA MISTRAL 16,Comunidad Cristiana Betania,261 - Facultad Derecho,Avenida Complutense nº 23,3668.731022592005
Comunidad Cristiana Casa de Bendición,CALLE ESFINGE 19,Comunidad Cristiana Casa de Bendición,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,3824.7853415538284
Comunidad Cristiana Eben-Ezer Dios es Amor,CALLE ENRIQUE VELASCO 6,Comunidad Cristiana Eben-Ezer Dios es Amor,226 - Sierra Toledana,Camino de Valderribas nº 94,393.9197639032823
Comunidad Cristiana Eben-Ezer Hortaleza,CALLE SANTA VIRGILIA 5 POSTERIOR,Comunidad Cristiana Eben-Ezer Hortaleza,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,3866.075864062987
Comunidad Cristiana Eben-Ezer de la Villa de Vallecas,CALLE SIERRA DE TORTEJADA 2,Comunidad Cristiana Eben-Ezer de la Villa de Vallecas,221 - Pavones,Calle Hacienda de Pavones nº 342,3699.313020858676
Comunidad Cristiana Kairos,CALLE ISABEL ANA 9,Comunidad Cristiana Kairos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1103.2829519115705
Comunidad Cristiana Maranatha,CALLE GRANADA 8,Comunidad Cristiana Maranatha,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38,35.28716800574036
Comunidad Cristiana Misionera Newma,CALLE CIUDAD DE FRIAS 24 y 32 (NAVE 62),Comunidad Cristiana Misionera Newma,213 - Glorieta de Cádiz,Calle Antonio López nº 129,5770.455444737194
Comunidad Cristiana Sendero de la Cruz,CALLE MIGUEL FLETA 11,Comunidad Cristiana Sendero de la Cruz,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,1100.283334401852
Comunidad Eben-Ezer Dios Es Amor,CALLE VILLALOBOS 11 Esquina a Leoneses,Comunidad Eben-Ezer Dios Es Amor,226 - Sierra Toledana,Camino de Valderribas nº 94,2439.4064502640117
Comunidad Evangélica de habla alemana,PASEO CASTELLANA 6,Comunidad Evangélica de habla alemana,104 - Castellana,Paseo de la Castellana nº 4,52.30488698800249
Fraternidad Cristiana Vida Nueva,CALLE MARIA ZAYAS 15,Fraternidad Cristiana Vida Nueva,155 - San Germán 57,Calle San Germán nº 57,259.89598498870794
Iglesia  Evangélica Bautista Pueblo Nuevo,CALLE GUTIERRE DE CETINA 13,Iglesia  Evangélica Bautista Pueblo Nuevo,232 - José María Pereda,Calle José María de Pereda nº 1,500.2254865990685
Iglesia Abundante Vida,CALLE SECOYA 18 2,Iglesia Abundante Vida,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4494.373231971069
Iglesia Alianza Cristiana y Misionera,CALLE ESPERANZA MACARENA 24 SEMISOTANO,Iglesia Alianza Cristiana y Misionera,235 - Embajadores 191,Calle Sodio nº 1B,4438.206736896955
Iglesia Anglicana de San Jorge,CALLE NUÑEZ DE BALBOA 43,Iglesia Anglicana de San Jorge,87 - Ayala,Calle Ayala nº 44,127.54299512137902
Iglesia Asamblea Cristiana de Madrid,CALLE ALORA 7 PLANTA Bajo posterior y 9,Iglesia Asamblea Cristiana de Madrid,221 - Pavones,Calle Hacienda de Pavones nº 342,1719.539056616098
Iglesia Asambleas de Dios Belén,CALLE EZEQUIEL SOLANA 51 LOCALES 1-3,Iglesia Asambleas de Dios Belén,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,351.30655588946195
Iglesia Bautista Calvario,CALLE PALERMO 28,Iglesia Bautista Calvario,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,1715.6394533643338
Iglesia Bautista El Buen Pastor,PLAZA GETAFE 1,Iglesia Bautista El Buen Pastor,196 - Prosperidad,Calle Suero de Quiñones nº 2,328.5869219854964
Iglesia Bautista Emanuel,CALLE HERNANDEZ DE TEJADA 4,Iglesia Bautista Emanuel,230 - Carlota O’Neill,Calle Carlota O'Neill nº 32,445.96070091667355
Iglesia Bautista de Alameda de Osuna,CALLE SOTO HIDALGO 6,Iglesia Bautista de Alameda de Osuna,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,7603.94678285397
Iglesia Bautista de Jesús,PASEO PERALES 28,Iglesia Bautista de Jesús,224 - Caramuel,Calle Caramuel nº 51,1277.609500578655
"Iglesia Bautista de Jesús (José Villena, 10)",CALLE JOSE VILLENA 10,"Iglesia Bautista de Jesús (José Villena, 10)",188 - Puente de Ventas,Avenida de Daroca nº 2,360.79695392232327
Iglesia Bautista de Vallecas,CALLE SAN VIRGILIO 2 y 4,Iglesia Bautista de Vallecas,227 - Concordia,Calle Arroyo del Olivar nº 6,382.01146824171843
Iglesia Bíblica,CALLE CANAL DE SUEZ 15,Iglesia Bíblica,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77,8287.341850748611
Iglesia Bíblica Reto a la Esperanza,CAMINO HORMIGUERAS 137,Iglesia Bíblica Reto a la Esperanza,221 - Pavones,Calle Hacienda de Pavones nº 342,2997.3881963081826
Iglesia Bíblica Reto a la Esperanza Camino de Hormigueras 137,CAMINO HORMIGUERAS 137,Iglesia Bíblica Reto a la Esperanza Camino de Hormigueras 137,221 - Pavones,Calle Hacienda de Pavones nº 342,2997.3881963081826
Iglesia Bíblica Reto a la Esperanza Sierra de Alcubierre 4,CALLE SIERRA DE ALCUBIERRE 4,Iglesia Bíblica Reto a la Esperanza Sierra de Alcubierre 4,227 - Concordia,Calle Arroyo del Olivar nº 6,240.87058493700277
