Place of interest,Place address,Latitude,Longitude,Type of place
Asamblea Cristiana Gilgal,CALLE GARGANTA DE AISA 34,40.403023480440126,-3.6575752658298923,Asamblea Cristiana Gilgal
Asambleas de Evangelización Mundial para Cristo (AEMC),CALLE ANTONIA RODRIGUEZ SACRISTAN 8 PLANTA BAJO IZQUIERDA,40.372800292475574,-3.745073767335671,Asambleas de Evangelización Mundial para Cristo (AEMC)
Asociación Darse - Dar Ayuda para la Reinserción Social España,CAMINO ALTO DE SAN ISIDRO 16 PLANTA 2º C C,40.39646987780765,-3.7228134710524623,Asociación Darse - Dar Ayuda para la Reinserción Social España
Asociación Evangélica Internacional,CALLE NICARAGUA 19,40.457895405861926,-3.6706745177055007,Asociación Evangélica Internacional
Catedral Anglicana de Madrid,CALLE BENEFICENCIA 18,40.42635120982088,-3.698682579292043,Catedral Anglicana de Madrid
Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio,CALLE NICARAGUA 12,40.45754917910687,-3.672905343222746,Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio
Centro Apostólico Cristo Viene,CALLE ANTONIO LOPEZ 236 PLANTA 1,40.383724492823504,-3.6960683266163925,Centro Apostólico Cristo Viene
Centro Cristiano Amor y Fe,CALLE HAYA 1,40.368709165465525,-3.7471132818088884,Centro Cristiano Amor y Fe
Centro Cristiano Ciudad de Refugio,CALLE GODELLA 103 PLANTA 1 Derecha,40.34192622597721,-3.6876586251390493,Centro Cristiano Ciudad de Refugio
Centro Cristiano Cuatro Caminos,CALLE SAN ENRIQUE 12,40.456100287456294,-3.700994547334428,Centro Cristiano Cuatro Caminos
Centro Cristiano Evangélico,CALLE LUMBRERAS 8,40.40685383679603,-3.6154573903495684,Centro Cristiano Evangélico
Centro Cristiano Evangélico Independiente,CALLE SECOYA 28 PLANTA 3,40.368892245184576,-3.747166775976031,Centro Cristiano Evangélico Independiente
Centro Cultural Islámico. Mezquita de Madrid,CALLE SALVADOR DE MADARIAGA 7,40.438521492191306,-3.6573640044493407,Centro Cultural Islámico. Mezquita de Madrid
Centro de Evangelización Anuncio de Paz,CALLE PUERTO DEL MONASTERIO 10 PLANTA BAJO,40.39477355030102,-3.665233691809319,Centro de Evangelización Anuncio de Paz
Centro de Fe y Esperanza Internacional,CALLE LUIS GOMEZ 18,40.38575649321376,-3.7316618578640703,Centro de Fe y Esperanza Internacional
Centro Evangélico de Restauración Aliento de Vida,CALLE PUERTO DE LAS PILAS 12,40.37887387719392,-3.6268000188410188,Centro Evangélico de Restauración Aliento de Vida
Christ Missions Evangelical Church,CALLE TANTALO 7,40.35242427567422,-3.681517625700249,Christ Missions Evangelical Church
Christ The Master Filipino Christian Fellowship,PLAZA FONSAGRADA 5,40.47751222856838,-3.707887319176637,Christ The Master Filipino Christian Fellowship
Community Church of Madrid,CALLE VIÑA 3,40.444012178441184,-3.7186194926544465,Community Church of Madrid
Comunidad Cristiana Betania,CALLE GABRIELA MISTRAL 16,40.483378084085,-3.735961169071446,Comunidad Cristiana Betania
Comunidad Cristiana Casa de Bendición,CALLE ESFINGE 19,40.444795655280224,-3.610188031875868,Comunidad Cristiana Casa de Bendición
Comunidad Cristiana Eben-Ezer de la Villa de Vallecas,CALLE SIERRA DE TORTEJADA 2,40.37152812090639,-3.6181096496598038,Comunidad Cristiana Eben-Ezer de la Villa de Vallecas
Comunidad Cristiana Eben-Ezer Dios es Amor,CALLE ENRIQUE VELASCO 6,40.39623572695798,-3.6629623449024975,Comunidad Cristiana Eben-Ezer Dios es Amor
Comunidad Cristiana Eben-Ezer Hortaleza,CALLE SANTA VIRGILIA 5 POSTERIOR,40.47803083728167,-3.6436863685291523,Comunidad Cristiana Eben-Ezer Hortaleza
Comunidad Cristiana Kairos,CALLE ISABEL ANA 9,40.39457697145854,-3.725778001179184,Comunidad Cristiana Kairos
Comunidad Cristiana Maranatha,CALLE GRANADA 8,40.40503855717772,-3.6800894670027358,Comunidad Cristiana Maranatha
Comunidad Cristiana Misionera Newma,CALLE CIUDAD DE FRIAS 24 y 32 (NAVE 62),40.338947832675025,-3.7138105528343224,Comunidad Cristiana Misionera Newma
Comunidad Cristiana Sendero de la Cruz,CALLE MIGUEL FLETA 11,40.43189156564133,-3.631374057578604,Comunidad Cristiana Sendero de la Cruz
Comunidad Eben-Ezer Dios Es Amor,CALLE VILLALOBOS 11 Esquina a Leoneses,40.381966779984396,-3.647037080630487,Comunidad Eben-Ezer Dios Es Amor
Comunidad Evangélica de habla alemana,PASEO CASTELLANA 6,40.42721250117197,-3.689422328230453,Comunidad Evangélica de habla alemana
Fraternidad Cristiana Vida Nueva,CALLE MARIA ZAYAS 15,40.45954045233268,-3.701559520848318,Fraternidad Cristiana Vida Nueva
Iglesia  Evangélica Bautista Pueblo Nuevo,CALLE GUTIERRE DE CETINA 13,40.43387488622842,-3.644196517698973,Iglesia  Evangélica Bautista Pueblo Nuevo
Iglesia Abundante Vida,CALLE SECOYA 18 2,40.36948386820239,-3.744863153558721,Iglesia Abundante Vida
